BHID,SAMPLE_ID,FROM,TO,CaO,MgO,K2ONa2O
ZK1,1443,0,2.5,52.07,0.52,0.53
ZK1,1444,2.5,5,50,0.76,0.56
ZK1,1445,5,7.5,50.53,0.52,0.53
ZK1,1446,7.5,10,50.29,0.82,0.52
ZK1,1447,10,12.5,50.57,0.9,0.52
ZK1,1448,12.5,15,50.29,0.8,0.53
ZK1,1449,15,17.5,51.15,0.83,0.53
ZK1,1450,17.5,20,51.3,0.66,0.53
ZK1,1451,20,22.5,51.1,0.45,0.54
ZK1,1452,22.5,25,51.34,0.76,0.53
ZK1,1453,25,27.5,50.57,0.9,0.59
ZK1,1454,27.5,29.21,49.61,0.84,0.52
ZK1,1455,29.21,31.71,50.29,1.14,0.64
ZK1,1456,31.71,34.47,50.53,1.04,0.58
ZK1,1457,34.47,37.17,49.9,1.04,0.69
ZK1,1458,37.17,39.67,47.88,1.17,0.96
ZK1,1459,39.67,42.11,47.31,1.71,0.83
ZK1,1460,42.11,44.71,46.83,1.32,1.02
ZK1,1461,44.72,47.32,47.59,1.33,0.97
ZK1,1462,47.32,49.61,48.94,1.24,0.8
ZK1,1463,49.61,52.08,46.83,2.21,1.02
ZK1,1464,52.08,53.47,42.98,2.83,1.24
ZK2,1392,0,2.46,50.74,0.88,0.66
ZK2,1393,2.46,4.96,51.03,0.85,0.51
ZK2,1394,4.96,7.46,50.59,0.99,0.58
ZK2,1395,7.46,10.22,50.02,1.14,0.5
ZK2,1396,10.22,12.72,50.81,0.85,0.59
ZK2,1397,12.72,15.22,50.52,0.84,0.61
ZK2,1398,15.22,17.72,49.72,0.99,0.57
