BHID,FROM,TO,LITHOLOGY,REDOX,,,,,,,,,,,,
ZK0801,0,6.65,Dolomite,ALTERED,,,,,,,,,,,,
ZK0801,6.65,21.9,Leopard Limestone,ALTERED,,,,,,,,,,,,
ZK0801,21.9,23.4,Dolomite,ALTERED,,,,,,,,,,,,
ZK0801,23.4,29.3,Leopard Limestone,SEMIALTERED,,,,,,,,,,,,
ZK0801,29.3,43.4,Leopard Limestone,SEMIALTERED,,,,,,,,,,,,
ZK0801,43.4,58.08,Banded Limestone,SEMIALTERED,,,,,,,,,,,,
ZK0801,58.08,70.43,Banded Limestone,SEMIALTERED,,,,,,,,,,,,
ZK0801,70.43,72.86,Leopard Limestone,SEMIALTERED,,,,,,,,,,,,
ZK0801,72.86,75,Banded Limestone,FRESH,,,,,,,,,,,,
ZK0801,75,82,Argillaceous limestone,FRESH,,,,,,,,,,,,
ZK0801,82,92,Leopard Limestone,FRESH,,,,,,,,,,,,
ZK0801,92,102.96,Argillaceous limestone,FRESH,,,,,,,,,,,,
ZK0801,102.96,111.2,Argillaceous limestone,FRESH,,,,,,,,,,,,
ZK0801,111.2,113.1,Leopard Limestone,FRESH,,,,,,,,,,,,
ZK0801,113.1,117.78,Argillaceous limestone,FRESH,,,,,,,,,,,,
ZK0801,117.78,144.7,Banded Limestone,FRESH,,,,,,,,,,,,
ZK0801,144.7,179.15,Leopard Limestone,FRESH,,,,,,,,,,,,
ZK0801,179.15,191.7,Argillaceous limestone,FRESH,,,,,,,,,,,,
ZK1003,0,31.34,Dolomite,ALTERED,,,,,,,,,,,,
ZK1003,31.34,34.64,Dolomite,ALTERED,,,,,,,,,,,,
ZK1003,34.64,80.35,Dolomite,ALTERED,,,,,,,,,,,,
ZK1003,80.35,86.14,Argillaceous limestone,ALTERED,,,,,,,,,,,,
ZK1003,86.14,97,Leopard Limestone,ALTERED,,,,,,,,,,,,
ZK1003,97,98.2,Argillaceous limestone,SEMIALTERED,,,,,,,,,,,,
ZK1003,98.2,102.7,Leopard Limestone,SEMIALTERED,,,,,,,,,,,,
ZK1003,102.7,106.46,Argillaceous limestone ,SEMIALTERED,,,,,,,,,,,,
ZK1003,106.46,111.75,Argillaceous limestone,SEMIALTERED,,,,,,,,,,,,
ZK1003,111.75,131.34,Argillaceous limestone ,SEMIALTERED,,,,,,,,,,,,
ZK1003,131.34,143.6,Leopard Limestone,SEMIALTERED,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
