BHID,DEPTH,DIP,AZ
ZK26,0,-90,273
ZK26,148.23,-90,273
ZK27,0,-88,286
ZK27,163.11,-85,286
ZK601,0,-90,293
ZK601,70.17,-87,293
ZK602,0,-90,280
ZK602,66.41,-90,280
ZK1,0,-90,281
ZK1,53.47,-89,281
ZK2,0,-90,278
ZK2,88.98,-90,278
ZK13,0,-90,282
ZK13,40.3,-90,282
ZK22,0,-80,292
ZK22,120.2,-82,292
ZK23,0,-90,308
ZK23,91.78,-90,308
ZK24,0,-90,321
ZK24,80.83,-79,321
ZK3,0,-83,308
ZK3,69.49,-90,308
ZK20,0,-87,293
ZK20,131.77,-86,293
ZK25,0,-89,293
ZK25,111.45,-88,293
ZK4,0,-90,284
ZK4,44.45,-90,284
ZK36,0,-90,66
